"outbreak_number","start_weekday","country","location","temporal_scale","spatial_scale","population","area","who_region","start_date","end_date","total_suspected_cases","total_confirmed_cases","total_deaths","duration","right_censored","EpiPeriod","location_period_id","threshold","cfr","confirmed_prop","population_density","attack_rate","time_to_peak..weeks.","total_suspected_cases.1","mean_R0","definition","pop_cat","confirmed_attackrate","rural_urban"
1,"daily_group","ETH","afr::eth::tigray::centraltigray","daily","admin2",1409887,9346.879852,"AFR","8/15/2016","10/23/2016",412,6,1,10,"no","complete","16637",0.971709080231253,0.2,1.45631067961165,150.840389769033,0.292221897,6.57,412,1.56,"old_definition",">1,000,000",0.00425566020539235,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::centraltigray::kolatemben","daily","admin3",174903,1366.911778,"AFR","7/10/2017","10/1/2017",23,0,0,12,"no","complete","16538",1.14349096356266,0,0,127.954856205797,0.131501202,3.14,23,2.1,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::centraltigray::mereblehe","daily","admin3",129000,1232.203728,"AFR","8/15/2016","10/16/2016",257,2,0,9,"no","complete","16540",5.65891472868217,0,0.778210116731518,104.690480209292,1.992241909,6.57,257,2.16,"old_definition","100,000-1,000,000",0.0155038759689922,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::centraltigray::tanquaabergele","daily","admin3",116125,1445.809002,"AFR","8/29/2016","10/30/2016",53,0,0,9,"no","complete","16543",3.18622174381055,0,0,80.3183545263332,0.456401697,4.29,53,1.92,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::easttigray","daily","admin2",930096,6160.905206,"AFR","8/22/2016","10/9/2016",47,0,2,7,"no","complete","16690",0.645094699901946,4.3,0,150.967425873424,0.050532388,4.86,47,1.77,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::easttigray::kileteawulalo","daily","admin3",129338,967.0361375,"AFR","9/4/2017","10/8/2017",25,0,1,5,"no","complete","16550",5.95339343425753,4,0,133.746811504239,0.193291411,3.57,25,1.65,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::mekele","daily","admin2",232640,92.40160409,"AFR","7/25/2016","8/28/2016",546,0,3,5,"no","complete","16621",52.3125859697386,0.5,0,2517.70520967803,2.346968033,3.43,546,3.19,"old_definition","100,000-1,000,000",0,"Urban settings"
1,"daily_group","ETH","afr::eth::tigray::mekele::mekeletown","daily","admin3",37949,34.17362048,"AFR","7/25/2016","8/28/2016",546,0,3,5,"no","complete","16560",320.693562412712,0.5,0,1110.47642792807,14.38752653,3.43,546,3.19,"old_definition","10,000-100,000",0,"Urban settings"
1,"daily_group","ETH","afr::eth::tigray::northwesterntigray","daily","admin2",914755,12577.58114,"AFR","8/1/2016","10/30/2016",830,4,17,13,"no","complete","16636",3.7496378811813,2,0.481927710843373,72.7290080515434,0.907346652,7,830,2.12,"old_definition","100,000-1,000,000",0.00437275554656711,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::northwesterntigray::asgedetsimbila","daily","admin3",167197,2368.156155,"AFR","8/1/2016","10/9/2016",277,2,11,10,"no","complete","16561",12.9787017709648,4,0.72202166064982,70.6021854373872,1.656726123,4.14,277,1.94,"old_definition","100,000-1,000,000",0.0119619371160966,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::northwesterntigray::laelayadiyabo","daily","admin3",139731,1791.921623,"AFR","8/15/2016","10/9/2016",144,0,2,8,"no","complete","16562",10.2339495172868,1.4,0,77.9782989425983,1.030549716,5,144,2.68,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::northwesterntigray::tahitayadiyabo","daily","admin3",106992,3849.350682,"AFR","8/22/2016","10/30/2016",203,0,2,10,"no","complete","16566",13.0850904740541,1,0,27.7948175780156,1.897323017,5.29,203,2.05,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::northwesterntigray::tahitaykoraro","daily","admin3",96142,668.3771852,"AFR","8/8/2016","10/2/2016",42,1,0,8,"no","complete","16567",6.55280730586008,0,2.38095238095238,143.843928441739,0.436850767,6.43,42,1.92,"old_definition","10,000-100,000",0.0104012814378731,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::northwesterntigray::tselemti","daily","admin3",176927,2824.294437,"AFR","8/8/2016","10/2/2016",35,0,1,8,"no","complete","16568",1.69561457550289,2.9,0,62.6446724824958,0.197820827,4.29,35,2.04,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::southeasttigray","daily","admin2",668367,6091.581462,"AFR","7/25/2016","10/2/2016",271,2,5,10,"no","complete","16639",4.23420067118813,1.8,0.738007380073801,109.719783634078,0.405465632,3.14,271,2.28,"old_definition","100,000-1,000,000",0.00299236796550398,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::southeasttigray::degatemben","daily","admin3",144490,1040.640181,"AFR","6/26/2017","10/15/2017",70,0,0,16,"no","complete","16569",1.59180566129144,0,0,138.847223697583,0.484460078,10.14,70,2.07,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::southeasttigray::hintalowajrot","daily","admin3",192130,1981.146154,"AFR","8/22/2016","10/30/2016",27,0,0,10,"no","complete","16571",1.40529849581013,0,0,96.9792155980432,0.140529427,8.43,27,1.9,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::southeasttigray::sahartisamre","daily","admin3",157167,1741.309245,"AFR","8/22/2016","10/30/2016",43,0,0,10,"no","complete","16572",1.9087976483613,0,0,90.2579484093878,0.273592915,7.86,43,1.93,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::southerntigray::alamatatown","daily","admin3",42078,5.541970128,"AFR","10/31/2016","12/11/2016",18,0,0,6,"no","complete","16575",7.84257806929987,0,0,7592.60678570009,0.427772339,3.43,18,1.78,"old_definition","10,000-100,000",0,"Urban settings"
1,"daily_group","ETH","afr::eth::tigray::westerntigray","daily","admin2",438298,13236.82953,"AFR","7/25/2016","11/6/2016",558,0,14,15,"no","complete","16638",4.63155204906251,2.5,0,33.1120076002067,1.273104973,7.43,558,1.95,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::westerntigray::kaftahumera","daily","admin3",111212,6202.612022,"AFR","7/24/2017","8/27/2017",49,6,1,5,"no","complete","16581",14.117181599108,2,12.2448979591837,17.929865612349,0.440596469,3.43,49,2.47,"old_definition","100,000-1,000,000",0.0539510124806676,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::westerntigray::setithumera","daily","admin3",22872,14.46200546,"AFR","8/8/2016","10/2/2016",53,0,2,8,"no","complete","16582",20.5491430570129,3.8,0,1581.52339682494,2.317157915,5.29,53,2.16,"old_definition","10,000-100,000",0,"Urban settings"
1,"daily_group","ETH","afr::eth::tigray::westerntigray::tsegede","daily","admin3",132174,3287.020644,"AFR","8/29/2016","10/30/2016",92,0,0,9,"no","complete","16583",5.06907561245025,0,0,40.2108822289465,0.696049952,6.43,92,1.79,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","ETH","afr::eth::tigray::westerntigray::welkait","daily","admin3",171851,3799.025804,"AFR","8/15/2016","10/30/2016",117,0,5,11,"no","complete","16584",3.49139661683668,4.3,0,45.2355442858687,0.680819555,4.86,117,2.07,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","GHA","afr::gha::central","daily","admin1",2401526,9651.724859,"AFR","10/29/2012","11/25/2012",8,0,0,4,"yes","complete","8629",0.08328038089115,0,0,248.81832367617,0.003331215,3,8,1.81,"old_definition",">1,000,000",0,"Rural settings"
1,"daily_group","GHA","afr::gha::central::awutusenya","daily","admin2",209311,357.3238284,"AFR","10/29/2012","11/25/2012",8,0,0,4,"yes","complete","2121",0.955515954727654,0,0,585.773976891601,0.038220484,3,8,1.81,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","GNB","afr::gnb::biombo","daily","admin1",100914,756.9453791,"AFR","9/24/2012","12/2/2012",646,0,2,10,"yes","complete","6908",44.2951423984779,0.3,0,133.317413364734,6.401451226,7.29,646,1.48,"old_definition","100,000-1,000,000",0,"Rural settings"
1,"daily_group","GNB","afr::gnb::biombo::prabis","daily","admin2",38039,162.8809168,"AFR","10/15/2012","12/9/2012",84,0,0,8,"yes","complete","8447",26.2888088540708,0,0,233.538714953991,2.208208242,4.14,84,1.68,"old_definition","10,000-100,000",0,"Rural settings"
1,"daily_group","GNB","afr::gnb::biombo::quinamel","daily","admin2",43790,424.5001944,"AFR","9/24/2012","12/2/2012",79,0,0,10,"yes","complete","7216",14.3868463119434,0,0,103.15660764748,1.804055843,8,79,1.82,"old_definition","10,000-100,000",0,"Rural settings"
1,"daily_group","GNB","afr::gnb::biombo::safim","daily","admin2",19084,169.5642679,"AFR","9/10/2012","10/28/2012",47,0,0,7,"no","complete","7054",40.3479354433033,0,0,112.54729688247,2.462730275,2.43,47,1.93,"old_definition","10,000-100,000",0,"Rural settings"
1,"daily_group","GNB","afr::gnb::cacheu","daily","admin1",191599,4776.126062,"AFR","10/15/2012","12/9/2012",42,0,0,8,"yes","complete","6048",1.20042380179437,0,0,40.1159846940405,0.219206984,6.43,42,1.87,"old_definition","100,000-1,000,000",0,"Rural settings"
