"country","year_month","has_data","outbreak_sCh","outbreak_deaths","outbreak_cCh","outbreak_duration","total_pop","outbreak_pop","outbreak_pop_censored","outbreak_number","outbreak_sl"
"CIV","2019-04","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-05","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-06","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-07","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-08","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-09","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-10","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-11","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-12","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-01","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-02","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-03","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-04","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-05","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-06","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-07","yes",325,19,NA,0,0,383354.9,383354.9,0,"admin3"
"CIV","2013-08","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-09","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-10","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-11","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-12","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-01","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-02","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-03","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-04","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-05","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-06","yes",325,19,NA,0,0,383354.9,383354.9,0,"admin3"
"CIV","2013-07","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-08","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-09","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-10","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-12","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-01","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-02","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-03","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-04","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-05","yes",325,19,NA,0,0,383354.9,383354.9,0,"admin3"
"CIV","2013-06","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-07","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-08","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-09","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-12","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-01","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2010-02","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2011-03","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2012-04","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2013-05","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2014-06","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2015-07","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2016-08","yes",0,NA,NA,0,0,0,0,0,NA
"CIV","2017-09","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2018-10","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2019-11","no",0,NA,NA,0,0,0,0,0,NA
"CIV","2020-12","no",0,NA,NA,0,0,0,0,0,NA
"CMR","2010-01","yes",0,NA,NA,0,0,0,0,0,NA
"CMR","2011-02","yes",4888,81,NA,0,0,1850862.8,1850862.8,0,"admin2"
"CMR","2012-03","yes",0,NA,NA,0,0,0,0,0,NA
"CMR","2013-04","yes",0,NA,NA,0,0,0,0,0,NA
"CMR","2014-05","yes",1198,55,NA,0,0,98466,98466,0,"admin2"
"CMR","2015-06","yes",0,NA,NA,0,0,0,0,0,NA
"CMR","2016-07","yes",0,NA,NA,0,0,0,0,0,NA
"CMR","2017-08","yes",0,NA,NA,0,0,0,0,0,NA
