outbreak_number,location,start_weekday,duration,threshold,total_suspected_cases,attack_rate,total_deaths,cfr,spatial_scale,temporal_scale,country,population,area,mean_R0,population_density,rural_urban,pop_cat
1,afr::cod::katanga::bukamahealthdistrict,Monday,12,1.752368737,277,1.050845187,7,2.527075812,Second administrative level,weekly,COD,263597.3,5494.055097,2.19,47.97864152,rural,"Population <1,000,000"
1,afr::cod::katanga::bunkeyahealthdistrict,Monday,18,0.543555723,76,1.284037877,3,3.947368421,Second administrative level,weekly,COD,59188.3,3414.436089,2.07,17.33472189,rural,"Population <100,000"
1,afr::cod::katanga::butumbahealthdistrict,Monday,13,4.646014459,236,2.763094721,14,5.93220339,Second administrative level,weekly,COD,85411.5,5478.209291,2.03,15.59113489,rural,"Population <100,000"
1,afr::cod::katanga::butumbahealthdistrict::balongo,Monday,6,57.22514133,38,34.59618246,2,5.263157895,Third administrative level,weekly,COD,1098.4,173.106702,1.82,6.345219378,rural,"Population <10,000"
1,afr::cod::katanga::butumbahealthdistrict::kilumbe,Monday,7,20.63629455,92,14.29800337,5,5.434782609,Third administrative level,weekly,COD,6434.5,200.7960875,1.88,32.04494709,rural,"Population <10,000"
1,afr::cod::katanga::kalemiehealthdistrict,Monday,6,6.089396381,132,0.611167126,2,1.515151515,Second administrative level,weekly,COD,215980.2,9371.316036,1.51,23.04694444,rural,"Population <1,000,000"
1,afr::cod::katanga::kalemiehealthdistrict::bwanakutcha,Monday,11,7.939854881,25,2.75251651,0,0,Third administrative level,weekly,COD,9082.6,4.277449397,2.09,2123.368194,urban,"Population <10,000"
1,afr::cod::katanga::kalemiehealthdistrict::kataki,Monday,12,105.6078365,26,18.28414613,0,0,Third administrative level,weekly,COD,1422,1.303884142,1.86,1090.587694,urban,"Population <10,000"
1,afr::cod::katanga::kalemiehealthdistrict::mutakuya,Monday,9,5.12772656,34,1.726601466,0,0,Third administrative level,weekly,COD,19691.9,79.96225234,1.89,246.2649491,rural,"Population <100,000"
1,afr::cod::katanga::kansimbahealthdistrict::mpala,Monday,10,8.330500716,52,4.330067107,0,0,Third administrative level,weekly,COD,12009.1,392.2587945,2.12,30.6152473,rural,"Population <100,000"
1,afr::cod::katanga::kapangahealthdistrict,Monday,14,0.971210567,64,0.447409601,3,4.6875,Second administrative level,weekly,COD,143045.7,12882.4364,1.86,11.10393217,rural,"Population <1,000,000"
1,afr::cod::katanga::kapembahealthdistrict,Monday,15,73.80088803,148,14.05337597,2,1.351351351,Second administrative level,weekly,COD,10531.3,726.6143498,1.88,14.49365816,rural,"Population <100,000"
1,afr::cod::katanga::kapolowehealthdistrict,Monday,16,0.376140472,120,0.332545299,3,2.5,Second administrative level,weekly,COD,360853.1,4669.418326,1.59,77.28009675,rural,"Population <1,000,000"
1,afr::cod::katanga::katubahealthdistrict,Monday,13,110.6702961,1192,257.738682,5,0.419463087,Second administrative level,weekly,COD,232817,206.9206907,1.51,1125.150893,urban,"Population <1,000,000"
1,afr::cod::katanga::kikulahealthdistrict,Monday,20,5.242390266,587,6.953763617,19,3.236797274,Second administrative level,weekly,COD,84414.7,2968.048169,2.02,28.44114893,rural,"Population <100,000"
1,afr::cod::katanga::kilwahealthdistrict,Monday,10,0.494694556,188,0.327060114,6,3.191489362,Second administrative level,weekly,COD,574817.9,15041.32966,2.12,38.21589667,rural,"Population <1,000,000"
1,afr::cod::katanga::kinkondjahealthdistrict,Monday,35,12.12682178,1082,7.641020345,28,2.58780037,Second administrative level,weekly,COD,141604.1,4170.821978,1.57,33.9511254,rural,"Population <1,000,000"
1,afr::cod::katanga::kisangahealthdistrict,Monday,18,14.02203618,116,21.97818871,1,0.862068966,Second administrative level,weekly,COD,5278,143.2842653,1.83,36.83586602,rural,"Population <10,000"
1,afr::cod::katanga::kitengehealthdistrict,Monday,28,0.51088456,102,1.078616397,15,14.70588235,Second administrative level,weekly,COD,94565.6,4657.769592,2.25,20.30276469,rural,"Population <100,000"
1,afr::cod::katanga::likasihealthdistrict,Monday,12,0.414372173,89,0.219853208,3,3.370786517,Second administrative level,weekly,COD,404815.6,269.5675011,1.75,1501.722568,urban,"Population <1,000,000"
1,afr::cod::katanga::lubudihealthdistrict,Monday,5,0.177473742,16,0.107199987,2,12.5,Second administrative level,weekly,COD,149253.8,7670.639157,2.01,19.45780488,rural,"Population <1,000,000"
1,afr::cod::katanga::lukafuhealthdistrict,Monday,18,0.265611743,132,0.62110792,9,6.818181818,Second administrative level,weekly,COD,212523.5,7384.218389,1.83,28.78077121,rural,"Population <1,000,000"
1,afr::cod::katanga::mitwabahealthdistrict,Monday,4,0.069299849,36,0.162893475,2,5.555555556,Second administrative level,weekly,COD,221003.3,13847.25475,2.35,15.96008046,rural,"Population <1,000,000"
1,afr::cod::katanga::mobahealthdistrict::mulungushi,Monday,17,9.458023127,30,3.256121976,0,0,Third administrative level,weekly,COD,9213.4,591.9924181,2.08,15.563375,rural,"Population <10,000"
1,afr::cod::katanga::mulongohealthdistrict,Monday,16,0.496712268,225,0.811701946,6,2.666666667,Second administrative level,weekly,COD,277195.3,4200.032221,1.94,65.99837463,rural,"Population <1,000,000"
1,afr::cod::katanga::nyembahealthdistrict::kituku,Monday,13,18.45609442,209,9.535941798,0,0,Third administrative level,weekly,COD,21917.1,14.29865593,1.73,1532.808406,urban,"Population <100,000"
1,afr::cod::katanga::nyembahealthdistrict::tabacongo,Monday,19,12.84556126,86,9.881657767,2,2.325581395,Third administrative level,weekly,COD,8703,249.7799254,1.72,34.84267195,rural,"Population <10,000"
1,afr::cod::katanga::pwetohealthdistrict,Monday,26,2.162757117,654,3.219415933,35,5.351681957,Second administrative level,weekly,COD,203142.4,9492.313096,1.72,21.40072688,rural,"Population <1,000,000"
1,afr::cod::kinshasa::barumbuhealthdistrict,Monday,26,0.14080106,20,0.165464795,1,5,Second administrative level,weekly,COD,120871.6,4.207218576,1.92,28729.57461,urban,"Population <1,000,000"
1,afr::cod::kinshasa::binzameteohealthdistrict,Monday,9,0.192531142,33,0.066396007,0,0,Second administrative level,weekly,COD,497017.8,47.70857271,1.81,10417.78808,urban,"Population <1,000,000"
1,afr::cod::kinshasa::gombehealthdistrict,Monday,8,0.781280519,11,0.414907833,0,0,Second administrative level,weekly,COD,26511.9,12.62342419,1.95,2100.214617,urban,"Population <100,000"
1,afr::cod::kinshasa::kingasanihealthdistrict,Monday,27,0.10472157,42,0.255836971,0,0,Second administrative level,weekly,COD,164167,9.347666318,1.97,17562.35133,urban,"Population <1,000,000"
1,afr::cod::kinshasa::montngafulaihealthdistrict,Monday,15,0.044761928,11,0.048819565,0,0,Second administrative level,weekly,COD,225319.5,399.5076778,1.97,563.9929156,rural,"Population <1,000,000"
1,afr::cod::kinshasa::ngabahealthdistrict,Monday,5,0.02868385,4,0.027464151,0,0,Second administrative level,weekly,COD,145644.4,2.778802682,1.93,52412.64554,urban,"Population <1,000,000"
1,afr::cod::kinshasa::nselehealthdistrict,Monday,45,0.165346185,43,0.305618551,0,0,Second administrative level,weekly,COD,140698.3,821.9405211,1.93,171.1782013,rural,"Population <1,000,000"
1,afr::cod::kinshasa::policehealthdistrict,Monday,48,27.63879016,90,56.15897817,2,2.222222222,Second administrative level,weekly,COD,1602.6,0.082843555,2.02,19344.89653,urban,"Population <10,000"
1,afr::cod::kongocentral,Monday,3,0.138048127,74,0.024337946,3,4.054054054,First administrative level,weekly,COD,3040519.5,54118.17999,1.5,56.18295923,rural,"Population >1,000,000"
1,afr::cod::kongocentral::bomabunguhealthdistrict,Monday,41,0.36544829,63,1.152059743,3,4.761904762,Second administrative level,weekly,COD,54684.7,2595.452524,1.91,21.06942797,rural,"Population <100,000"
1,afr::cod::kongocentral::kitonahealthdistrict,Monday,31,2.558701692,96,6.96590791,4,4.166666667,Second administrative level,weekly,COD,13781.4,148.3766923,1.9,92.88116473,rural,"Population <100,000"
1,afr::cod::lomami,Monday,9,0.7035864,573,0.150132053,,,First administrative level,weekly,COD,3816640,54123.66022,1.39,70.51703422,rural,"Population >1,000,000"
1,afr::cod::lualaba::dilalahealthdistrict,Monday,3,0.072539359,11,0.079331989,0,0,Second administrative level,weekly,COD,138657.8,3635.266045,2,38.14240781,rural,"Population <1,000,000"
1,afr::cod::lualaba::fungurumehealthdistrict,Monday,13,0.599481131,172,0.518897426,5,2.906976744,Second administrative level,weekly,COD,331472.1,3543.701339,2.18,93.53838495,rural,"Population <1,000,000"
1,afr::cod::lualaba::kanzenzehealthdistrict,Monday,6,7.586435822,42,0.601160858,0,0,Second administrative level,weekly,COD,69864.8,3716.718394,1.86,18.79744242,rural,"Population <100,000"
1,afr::cod::lualaba::manikahealthdistrict,Monday,8,2.092071785,109,0.929816204,9,8.256880734,Second administrative level,weekly,COD,117227.5,7267.15842,2.03,16.13113314,rural,"Population <1,000,000"
1,afr::cod::maindombe::niokihealthdistrict,Monday,3,0.513398406,12,0.160961055,0,0,Second administrative level,weekly,COD,74552.2,6430.034082,1.84,11.59437089,rural,"Population <100,000"
1,afr::cod::maniema::kailohealthdistrict,Monday,4,1.020194382,31,0.230117457,3,9.677419355,Second administrative level,weekly,COD,134713.8,22776.84676,1.83,5.914506139,rural,"Population <1,000,000"
1,afr::cod::maniema::lubutuhealthdistrict,Monday,8,0.564044482,106,0.948591819,1,0.943396226,Second administrative level,weekly,COD,111744.6,10558.08445,2.72,10.58379487,rural,"Population <1,000,000"
1,afr::cod::mongala::bumbahealthdistrict,Monday,7,5.081770285,162,1.620421436,2,1.234567901,Second administrative level,weekly,COD,99974,1428.453505,1.56,69.98757723,rural,"Population <100,000"
1,afr::cod::nordkivu::gomahealthdistrict,Monday,28,24.95435658,827,9.705555545,1,0.120918984,Second administrative level,weekly,COD,85208.9,29.69816578,1.61,2869.163727,urban,"Population <100,000"
1,afr::cod::nordkivu::gomahealthdistrict::buhimba,Monday,7,96.15682832,345,23.27611442,0,0,Third administrative level,weekly,COD,14822.1,11.41341448,1.35,1298.656071,urban,"Population <100,000"
1,afr::cod::nordkivu::karisimbihealthdistrict,Monday,12,8.13431388,138,1.008675846,0,0,Second administrative level,weekly,COD,136813,36.95548483,1.69,3702.102695,urban,"Population <1,000,000"
1,afr::cod::nordkivu::karisimbihealthdistrict::katoyi,Monday,11,28.22049907,42,4.721560961,0,0,Third administrative level,weekly,COD,8895.4,1.600681271,1.75,5557.25875,urban,"Population <10,000"
