"outbreak_number","location","start_weekday","duration","threshold","total_suspected_cases","attack_rate","total_deaths","cfr","spatial_scale","temporal_scale","country","population","area","mean_R0","population_density","rural_urban","pop_cat"
1,"afr::cod::sudkivu::nyangezihealthdistrict","Monday",11,0.536489662187945,224,1.27493135104749,0,0,"Second administrative level","weekly","COD",175695.7,206.479119,1.68,850.912677518737,"rural","Population <1,000,000"
1,"afr::cod::sudkivu::uvirahealthdistrict::kabindula","Monday",11,39.6297518813798,41,9.88729370660002,0,0,"Third administrative level","weekly","COD",4146.7,3.941255935,1.88,1052.12654757474,"urban","Population <10,000"
1,"afr::cod::sudkivu::uvirahealthdistrict::kalunducepac","Monday",17,26.0220982250406,45,8.58070917661969,0,0,"Third administrative level","weekly","COD",5244.3,6.821953568,1.84,768.738741436125,"rural","Population <10,000"
1,"afr::cod::sudkivu::uvirahealthdistrict::kavimvira","Monday",12,10.5028241407763,39,2.35463617934809,0,0,"Third administrative level","weekly","COD",16563.1,55.24575418,1.71,299.807654829629,"rural","Population <100,000"
1,"afr::cod::sudkivu::uvirahealthdistrict::kilomoni","Monday",12,23.8320089777564,61,5.82616077140667,0,0,"Third administrative level","weekly","COD",10470,15.32402625,1.74,683.240802984137,"rural","Population <100,000"
1,"afr::cod::sudkivu::uvirahealthdistrict::mulongwe","Monday",10,119.818320506794,40,27.1127853976865,0,0,"Third administrative level","weekly","COD",1475.3,0.581647506,1.75,2536.41593023524,"urban","Population <10,000"
1,"afr::cod::sudkivu::uvirahealthdistrict::stpaul","Monday",34,20.6512067835632,33,6.86815727413504,0,0,"Third administrative level","weekly","COD",4804.8,4.575150262,1.82,1050.19501543095,"urban","Population <10,000"
1,"afr::cod::sudkivu::uvirahealthdistrict::tanganyika","Monday",13,22.1198947400612,26,4.49080308020783,0,0,"Third administrative level","weekly","COD",5789.6,13.39115233,1.9,432.345167714181,"rural","Population <10,000"
1,"afr::cod::tanganyika","Monday",24,2.02734110865197,3004,0.770169618064836,,,"First administrative level","weekly","COD",3900439.5,132706.6702,2.01,29.3914352166452,"rural","Population >1,000,000"
1,"afr::cod::tanganyika::kansimbahealthdistrict","Monday",7,1.11708357747733,256,1.26299281503245,15,5.859375,"Second administrative level","weekly","COD",202693.2,10099.73188,2.73,20.0691664301884,"rural","Population <1,000,000"
1,"afr::cod::tshopo","Monday",7,1.81393840124113,431,0.127264255515916,5,1.16009280742459,"First administrative level","weekly","COD",3386654,200478.8753,1.41,16.8928222234495,"rural","Population >1,000,000"
1,"afr::cod::tshopo::basokohealthdistrict","Monday",14,6.47391641722677,756,9.42708867618319,24,3.17460317460317,"Second administrative level","weekly","COD",80194.4,1624.083079,2.68,49.378262132611,"rural","Population <100,000"
1,"afr::cod::tshopo::makisokisanganihealthdistrict","Monday",6,0.433239974360512,145,0.263409681645557,13,8.96551724137931,"Second administrative level","weekly","COD",550473.3,500.6467342,2.1,1099.52439993366,"urban","Population <1,000,000"
1,"afr::cod::tshopo::opalahealthdistrict","Monday",11,5.57940755664732,249,2.07630012073967,11,4.41767068273092,"Second administrative level","weekly","COD",119924.9,17828.90429,1.5,6.72643130779856,"rural","Population <1,000,000"
1,"afr::cod::tshopo::yabaondohealthdistrict","Monday",5,2.98489273769707,57,0.259755351472915,6,10.5263157894737,"Second administrative level","weekly","COD",219437.3,4759.013318,1.82,46.1098310378799,"rural","Population <1,000,000"
1,"afr::cog::likouala::impfondo","Monday",10,10.0213086288909,32,1.68226557966956,5,15.625,"Second administrative level","weekly","COG",19022,2183.649872,1.87,8.71110348042097,"rural","Population <100,000"
1,"afr::cog::pointenoire","Saturday",9,7.97598944216437,439,1.02001666530645,,,"First administrative level","weekly","COG",430385.1,207.6178476,1.92,2072.96773844408,"urban","Population <1,000,000"
1,"afr::eth::addisababa","daily_group",17,1.03910841663471,7726,2.34773580314573,13,0.168263008024851,"First administrative level","daily","ETH",3290830.3,539.4659939,2.79,6100.16263714672,"urban","Population >1,000,000"
1,"afr::eth::addisababa::addisababa::akakikality","daily_group",17,1.09150493259026,514,2.41130999385224,0,0,"Third administrative level","daily","ETH",213162.1,126.9109304,2.26,1679.61970909954,"urban","Population <1,000,000"
1,"afr::eth::addisababa::addisababa::arada","daily_group",17,0.883770210564133,469,1.87506516282476,1,0.213219616204691,"Third administrative level","daily","ETH",250124.6,9.921690006,2.22,25209.8785437502,"urban","Population <1,000,000"
